node1,node2,size,edges,biggroup,timestamp
1990,5858,9,16546,2672,1447728096.378186
2089,5816,9,16545,2672,1447728257.432397
6703,7031,9,16544,2672,1447728420.114601
223,3820,9,16543,2672,1447728581.543243
3819,5008,9,16542,2672,1447728742.952941
2833,2878,9,16541,2672,1447728903.801042
6524,6528,9,16540,2672,1447729065.009464
34,4765,9,16539,2672,1447729226.545290
34,6818,9,16538,2672,1447729388.296508
587,2499,9,16537,2672,1447729550.014159
506,4683,9,16536,2672,1447729710.597426
1767,3043,9,16535,2672,1447729871.260610
1767,5857,9,16534,2672,1447730033.048739
3512,6796,9,16533,2672,1447730193.444652
2237,6283,9,16532,2672,1447730354.531570
2237,3512,9,16531,2672,1447730515.663198
1779,1895,9,16530,2672,1447730676.668000
80,4442,9,16529,2672,1447730837.945287
2363,3605,9,16528,2672,1447730998.556658
2259,5741,9,16527,2672,1447731159.218162
392,3620,9,16526,2672,1447731320.147485
1253,6707,9,16525,2672,1447731480.521710
165,6413,9,16524,2672,1447731641.188027
3618,6413,9,16523,2672,1447731801.714102
5857,5921,9,16522,2672,1447731963.776032
1475,5907,9,16521,2672,1447732133.976339
495,5921,9,16520,2672,1447732295.336082
2543,6510,9,16519,2672,1447732460.762127
3466,3819,9,16518,2672,1447732621.601853
223,5008,9,16517,2672,1447732782.625512
3766,5011,9,16516,2672,1447732943.922022
1828,7184,9,16515,2672,1447733104.350949
4429,4704,9,16514,2672,1447733264.945063
1220,2360,9,16513,2672,1447733428.858104
3411,5633,9,16512,2672,1447733593.304999
3467,5009,9,16511,2672,1447733753.501376
882,6288,9,16510,2672,1447733914.601225
1837,3590,9,16509,2672,1447734074.739373
4587,6231,9,16508,2672,1447734234.763927
1219,3660,9,16507,2672,1447734394.879022
2769,2771,9,16506,2672,1447734555.364970
4665,5634,9,16505,2672,1447734715.743084
2139,3475,9,16504,2672,1447734875.778712
840,5125,9,16503,2672,1447735036.093162
2163,6413,9,16502,2672,1447735196.214739
5696,5697,9,16501,2672,1447735357.220721
5698,6825,9,16500,2672,1447735517.534409
5696,6825,9,16499,2672,1447735679.608261
392,630,9,16498,2672,1447735839.553042
30,4165,9,16497,2672,1447735999.620499
831,4167,9,16496,2672,1447736159.116752
826,6685,9,16495,2672,1447736319.979450
826,1951,9,16494,2672,1447736479.737589
6051,6566,9,16493,2672,1447736638.976599
3164,7330,9,16492,2672,1447736798.685391
2495,6050,9,16491,2672,1447736958.264721
5695,6701,9,16490,2672,1447737119.084404
5651,6652,9,16489,2672,1447737278.205962
3619,3936,9,16488,2672,1447737437.578563
1471,6187,9,16487,2672,1447737596.459967
2265,2320,9,16486,2672,1447737756.114380
269,1972,9,16485,2672,1447737915.281398
779,2893,9,16484,2672,1447738074.660921
1341,2485,9,16483,2672,1447738233.806383
558,2254,9,16482,2672,1447738394.134474
3111,6762,9,16481,2672,1447738553.541303
813,2665,9,16480,2672,1447738712.600459
4062,6953,9,16479,2672,1447738871.717961
2485,3293,9,16478,2672,1447739030.668105
5293,5538,9,16477,2672,1447739189.904517
452,1971,9,16476,2672,1447739349.530241
2315,4379,9,16475,2672,1447739508.298746
347,2877,9,16474,2672,1447739667.218783
3619,6947,9,16473,2672,1447739826.596143
166,6949,9,16472,2672,1447739985.100168
4904,5027,9,16471,2672,1447740145.242678
2251,6906,9,16470,2672,1447740303.722069
14,4904,9,16469,2672,1447740463.453917
3015,6661,9,16468,2672,1447740622.047983
4176,4177,9,16467,2672,1447740781.366104
2515,4175,9,16466,2672,1447740940.362369
2062,6315,9,16465,2672,1447741098.628888
4113,4176,9,16464,2672,1447741257.422575
4768,6823,9,16463,2672,1447741415.599379
4603,5700,9,16462,2672,1447741574.018720
5179,6823,9,16461,2672,1447741732.671951
1961,3551,9,16460,2672,1447741891.084320
3551,4175,9,16459,2672,1447742050.630136
2938,4176,9,16458,2672,1447742209.285183
3998,4113,9,16457,2672,1447742367.324935
953,2651,9,16456,2672,1447742525.520491
2506,6814,9,16455,2672,1447742683.309459
2649,4341,9,16454,2672,1447742842.899196
2651,4793,9,16453,2672,1447743001.059712
892,2203,9,16452,2672,1447743159.385427
4339,6687,9,16451,2672,1447743317.664886
4889,6820,9,16450,2672,1447743475.504083
3171,4720,9,16449,2672,1447743634.770128
1758,3995,9,16448,2672,1447743792.678556
2507,3995,9,16447,2672,1447743950.563822
1902,2648,9,16446,2672,1447744108.179642
949,1901,9,16445,2672,1447744266.965991
5107,6453,9,16444,2672,1447744424.966103
949,3168,9,16443,2672,1447744582.452633
1057,1184,9,16442,2672,1447744739.792990
4170,4721,10,16441,2319,1447744883.510064
5804,5855,10,16440,2319,1447745029.332967
1324,7205,10,16439,2319,1447745174.812817
1488,2530,10,16438,2319,1447745322.785690
2531,5805,10,16437,2319,1447745471.133955
2532,5859,10,16436,2319,1447745614.345645
5806,5859,10,16435,2319,1447745757.663273
487,984,10,16434,2319,1447745900.548394
2528,2529,10,16433,2319,1447746043.505168
2511,7188,10,16432,2319,1447746186.398045
5322,7268,10,16431,2319,1447746329.357439
483,5908,10,16430,2319,1447746472.836905
593,979,10,16429,2319,1447746617.431089
1475,4442,10,16428,2319,1447746760.725034
1657,5907,10,16427,2319,1447746903.783311
5806,5922,10,16426,2319,1447747047.137924
1657,3646,10,16425,2319,1447747191.757609
987,5807,10,16424,2319,1447747334.922285
5806,5807,10,16423,2319,1447747477.856925
1988,2409,10,16422,2319,1447747620.647887
494,1988,10,16421,2319,1447747763.366840
1657,6188,10,16420,2319,1447747906.764852
1488,2410,10,16419,2319,1447748049.717718
494,7304,10,16418,2319,1447748192.975030
985,986,10,16417,2319,1447748335.447242
5919,5920,10,16416,2319,1447748478.175487
4860,5920,10,16415,2319,1447748622.279323
491,1059,10,16414,2319,1447748764.473784
1268,3174,10,16413,2319,1447748906.903951
1007,1268,10,16412,2319,1447749049.172658
2508,4721,10,16411,2319,1447749191.569959
2511,5347,10,16410,2319,1447749334.068699
31,32,10,16409,2319,1447749476.634094
1717,2558,10,16408,2319,1447749619.294370
4107,6710,10,16407,2319,1447749761.832255
507,5652,10,16406,2319,1447749904.420709
1007,3174,10,16405,2319,1447750047.028354
5130,5850,10,16404,2319,1447750190.569412
5132,7188,10,16403,2319,1447750333.430654
3994,4172,10,16402,2319,1447750475.715617
3996,4111,10,16401,2319,1447750618.086304
847,5706,10,16400,2319,1447750760.437910
1272,5708,10,16399,2319,1447750902.957322
3997,5347,10,16398,2319,1447751045.124464
35,2933,10,16397,2319,1447751187.453179
491,1268,10,16396,2319,1447751329.702291
4723,4888,10,16395,2319,1447751471.921562
846,5705,10,16394,2319,1447751614.110591
2933,5705,10,16393,2319,1447751756.277992
3994,6819,10,16392,2319,1447751898.536680
4888,6819,10,16391,2319,1447752040.913006
2506,4762,10,16390,2319,1447752183.065556
2505,4762,10,16389,2319,1447752325.344193
2505,4103,10,16388,2319,1447752467.527520
2504,4103,10,16387,2319,1447752610.000541
2938,4764,10,16386,2319,1447752752.033158
2504,4716,10,16385,2319,1447752893.972584
2504,4168,10,16384,2319,1447753036.124767
3820,5011,11,16383,2169,1447753158.396865
3661,4664,11,16382,2169,1447753280.592286
397,4662,11,16381,2169,1447753402.942761
2360,4704,11,16380,2169,1447753525.138985
2360,4423,11,16379,2169,1447753647.581694
4663,6232,11,16378,2169,1447753769.889495
2142,5009,11,16377,2169,1447753892.305596
2143,5012,11,16376,2169,1447754014.711660
3826,3827,11,16375,2169,1447754136.658797
2777,3818,11,16374,2169,1447754259.034619
1897,2936,11,16373,2169,1447754381.287235
1634,1791,11,16372,2169,1447754503.433622
2141,2142,11,16371,2169,1447754625.561686
2721,3822,11,16370,2169,1447754747.707472
885,4330,11,16369,2169,1447754869.792677
4664,6232,11,16368,2169,1447754991.838439
226,2719,11,16367,2169,1447755113.923117
2429,3535,11,16366,2169,1447755235.907099
6231,6234,11,16365,2169,1447755358.151748
3411,6231,11,16364,2169,1447755480.341938
1702,4373,11,16363,2169,1447755602.495264
224,225,11,16362,2169,1447755724.767336
3467,3819,11,16361,2169,1447755847.027792
221,2776,11,16360,2169,1447755969.080692
2776,5007,11,16359,2169,1447756091.071157
2197,6226,11,16358,2169,1447756212.999260
3818,5007,11,16357,2169,1447756334.903990
6224,6225,11,16356,2169,1447756457.083695
1514,1896,11,16355,2169,1447756579.292072
395,4657,11,16354,2169,1447756701.274520
2816,5204,11,16353,2169,1447756823.310552
