(source, target),num_edges,timestamp
(3384, 3319),16513,1447752404.491776
(4257, 3319),16512,1447752404.905196
(4452, 4257),16511,1447752405.279991
(4452, 4317),16510,1447752405.673335
(4317, 5332),16509,1447752406.035008
(4317, 3291),16508,1447752406.428848
(3780, 3385),16507,1447752406.880382
(3385, 3184),16506,1447752407.290741
(3184, 3054),16505,1447752407.688590
(3054, 682),16504,1447752408.069158
(2819, 1193),16503,1447752408.450990
(2436, 1781),16502,1447752408.834264
(2438, 1835),16501,1447752409.289346
(4494, 4431),16500,1447752409.687834
(2438, 1193),16499,1447752410.048736
(6833, 5233),16498,1447752410.427110
(6832, 5345),16497,1447752410.786073
(6248, 4007),16496,1447752411.215756
(5183, 457),16495,1447752411.617995
(4009, 5234),16494,1447752411.991044
(5354, 4010),16493,1447752412.382271
(4115, 4007),16492,1447752412.756867
(5235, 4115),16491,1447752413.142884
(5237, 4116),16490,1447752413.566720
(5652, 1487),16489,1447752413.939637
(5804, 5131),16488,1447752414.324175
(507, 3893),16487,1447752414.702536
(6712, 5130),16486,1447752415.069768
(5804, 4863),16485,1447752415.449870
(5652, 507),16484,1447752415.896560
(5850, 4863),16483,1447752416.270102
(5850, 3893),16482,1447752416.644260
(5129, 5850),16481,1447752417.025328
(1154, 1599),16480,1447752417.402532
(5028, 5),16479,1447752417.780018
(5027, 1088),16478,1447752418.184817
(1155, 1154),16477,1447752418.555720
(1091, 5),16476,1447752418.916714
(1489, 1090),16475,1447752419.306527
(1526, 5),16474,1447752419.683780
(4, 1091),16473,1447752420.148142
(4, 1526),16472,1447752420.527782
(1526, 1088),16471,1447752420.910707
(533, 5027),16470,1447752421.281759
(533, 1526),16469,1447752421.668905
(6603, 2337),16468,1447752422.028620
(4341, 1902),16467,1447752422.437893
(1904, 1902),16466,1447752422.826176
(4341, 2649),16465,1447752423.207902
(4793, 4340),16464,1447752423.609976
(2647, 1904),16463,1447752423.976826
(4341, 952),16462,1447752424.372594
(1904, 952),16461,1447752424.819710
(7081, 6860),16460,1447752425.186188
(6547, 5627),16459,1447752425.553086
(5626, 5452),16458,1447752425.932352
(5454, 318),16457,1447752426.311872
(3065, 4772),16456,1447752426.688916
(6737, 213),16455,1447752427.110000
(6737, 2995),16454,1447752427.493205
(2995, 951),16453,1447752427.862568
(4781, 951),16452,1447752428.223746
(5942, 3368),16451,1447752428.621320
(5942, 951),16450,1447752428.985728
(6174, 1831),16449,1447752429.411265
(2128, 663),16448,1447752429.808422
(2550, 2129),16447,1447752430.180272
(2551, 1830),16446,1447752430.546783
(3126, 2434),16445,1447752430.922470
(4947, 4875),16444,1447752431.364188
(5685, 4875),16443,1447752431.778987
(5685, 4667),16442,1447752432.161997
(5684, 4875),16441,1447752432.530815
(4667, 4591),16440,1447752432.926721
(6537, 5684),16439,1447752433.294648
(4751, 3734),16438,1447752433.726069
(3734, 6537),16437,1447752434.113640
(6537, 1829),16436,1447752434.479210
(3734, 3122),16435,1447752434.839356
(3122, 1829),16434,1447752435.231747
(4668, 4591),16433,1447752435.624935
(5789, 3245),16432,1447752436.048200
(6353, 4668),16431,1447752436.429145
(3552, 4924),16430,1447752436.807571
(6816, 4883),16429,1447752437.204067
(4924, 3172),16428,1447752437.593630
(4883, 6818),16427,1447752437.957184
(4106, 3552),16426,1447752438.366515
(6816, 4105),16425,1447752438.724629
