,lat,lon,taxable_value,grocery,restaurant,retail,ncrimes,sgnf,avg_hh_size,population,walkscore
1851,37.7505036,-122.4625751,0.302338200886,-0.65674914797,-0.576728756975,-0.755999749989,-0.589229107935,0.297541385576,0.555485631247,-0.598087998866,-1.8503018207
1852,37.7393843,-122.4692175,0.224514979165,-0.311180080061,0.0491567205926,-0.356439564466,-0.499979241281,0.684733796412,0.632675318445,-0.957734974875,0.675433363693
1853,37.7408574,-122.4675102,0.225666355758,-0.150260145526,0.55684582702,-0.374751808951,-0.501677494261,0.740347336222,0.740136006311,-0.974023044142,0.616257419101
1854,37.7410334,-122.4639896,0.27126835385,-0.36794127015,0.315464853812,-0.552795755928,-0.540150627105,0.292444902272,0.617286744342,-1.13135754008,0.522708502274
1855,37.7124745,-122.4715992,-1.7266414427,-0.714864565634,-0.559786462128,-0.687537235707,-0.491661640351,-1.53497660469,-0.496082666199,-0.401646961009,-0.625232012149
1856,37.7437337,-122.3876994,0.0591337267842,-0.471397157383,-0.149974834607,-0.354862365797,-0.108266735734,-2.04138971204,-1.88511898963,-1.77780659861,-0.623113279829
1857,37.7883637,-122.4210337,1.11856681078,1.21013387033,2.16250408804,1.13425203159,1.92104793698,-0.196915424599,-0.551539540431,2.85609041333,0.96715296174
1858,37.7876693,-122.4226737,0.990942855773,0.457689154973,0.981282072271,0.828871715493,1.27133137018,-0.248260166071,-0.624554246078,2.49630169842,0.98760758817
1859,37.790204,-122.4197648,0.796153187281,1.15910706697,2.86564587423,1.2979398692,1.86679969631,0.652393032641,-0.333946183767,3.15597474926,1.00666967003
1860,37.7894977,-122.419622,0.854792777247,1.39152595911,2.99904729001,1.33637426013,2.17795907621,0.593239531944,-0.37365764818,3.21535567863,1.00340575501
1861,37.7872031,-122.422579,0.944645534636,0.460816807027,0.836720041488,0.801317600039,1.33722175033,-0.406289272297,-0.634051084948,2.48972301808,0.97234064299
1862,37.7850765,-122.4234941,0.603986408975,0.172507806316,-0.337340722816,0.544458734234,1.05082964987,0.0751395972441,-0.518340304166,2.20459968815,0.912280749671
1863,37.787422,-122.4208426,1.07028118266,1.2449295316,1.76128111834,1.07398215528,2.178753851,-0.468233171262,-0.574995010736,2.87396041102,0.974619737874
1864,37.806519,-122.4179687,0.946756571318,-0.328361490183,1.30217560522,0.946018339097,0.152833631655,-0.738066891505,-1.24769171091,-0.0419946924226,0.821995954384
1865,37.8046235,-122.4176358,0.749877313183,-0.287197784073,-0.093060597693,0.704176940283,0.0208449164585,0.380084932423,-0.710072073738,0.351892778351,0.852027843068
1866,37.8037058,-122.4174156,0.675332207453,-0.25459678309,-0.32974737909,0.613257961565,-0.0311137479655,0.701001134954,-0.462884531572,0.563975077383,0.786020967062
1867,37.8025623,-122.418881,0.720869682345,-0.18982092053,-0.464704424256,0.498819710403,-0.106637840396,0.910703085058,-0.357273576537,0.809909765109,0.702850872088
1868,37.8036469,-122.4158574,0.521062191938,-0.136230246574,-0.251433222944,0.661464195031,0.0024896945407,0.839793943274,-0.326683063988,0.599390800727,0.862902429094
1869,37.8032786,-122.4137591,0.225469959337,0.346456507547,0.13131102018,0.793793280152,0.0427679631394,0.597389183084,-0.151799780712,0.674067082316,0.940808596208
